Seccion,Subseccion,Contenido
 Clean Plate Campaign and Food Security , Pandemics ,"The basic economic theory tells us that higher demand usually leads to a higher price, which adds more pressure to the middle-lower class in China on their food security."
 Clean Plate Campaign and Food Security , International trade tensions ,"COVID-19 also makes international trade really hard, making foreign food supply to China really unstable. Policy-wise, many countries, including Russia, Ukraine and Vietnam, imposed strong restrictions on food exports.""They have advised us to increase stocks, keep supplies higher than we usually have. Things are not looking good in Brazil,"" a senior trader at one of China's leading food processors shows concerns over China's main supplier of soybeans and a key meat exporter where the coronavirus infections has exceeded the number in Spain and Italy in May.As a result, China resorted to the U.S. for soybean and meat supplies."
 Clean Plate Campaign and Food Security , International trade tensions ,"This is also partially due to the bilateral agreements signed to end the U.S.- China trade war, in which China promised to increase its purchase of American agricultural products, especially soybeans. However, the shadow of trade tensions adds anxiety and uncertainty to the Chinese government especially at the height of a global crisis. Such perceived over-reliance on importing food from the U.S. is politically and strategically unpopular to the Chinese government. There is a clear example showing the state's attitude towards this. The central committee of China in the next five years specified to prioritize national food security."
 Clean Plate Campaign and Food Security , International trade tensions ,"It means to reduce China's reliance on agriculture imports from countries such as the U.S. and Australia, with whom Beijing's relations have become tense. This is a dilemma to the Chinese government and really makes food security a national security issue practically. Food waste prevails in the society in recent years. It has to do with various reasons, including increasing agricultural productivity and yield, increasing food availability and choices, cultural tradition of lavish banquets, and food marketing. It could also be relevant to past experience of serious food shortages and famines."
 Clean Plate Campaign and Food Security , International trade tensions ,"Such experiences have resulted in some social behaviors like food waste especially in Buffet and hoarding supplies when any incidents or even rumors appear. Those have a negative impact on food security with uneven food distribution between urban and rural, coastal areas and massive inland. It also increases the risks of price inflation and occasional shortage when people overreact towards the food market. This problems has been increasingly alarming to the Chinese government because such waste, which undermines food security has been one of the top concerns of the Chinese society."
 Clean Plate Campaign and Food Security , International trade tensions ,"It is also the basis and key to the country's independent sovereignty, stability and prosperity. With a mass population of farmers and tradition of agriculture, food and planting is a strong cultural symbol throughout Chinese history. But feeding a population of hundreds of millions of people is never easy. Famines happened many times, even after the establishment of the People's Republic of China (PRC) in 1949. To the older Chinese population, the feeling and memory of hunger is still fresh, which dictates their dining habits. Some would keep on a frugal living because that is what they have been used to."
 Clean Plate Campaign and Food Security , International trade tensions ,"But some would have ""revenge spending"" on food. ""If there's something left in the plates, they have their face. They have a sense of security. If you have more than you actually need, it's something to be proud of."" Zhang Ye, one campaigner of the movement explains the rationale of food wasting in relation with famines in the past. Although Chinese government subsidizes farming and purposefully controls the price of main grains and groceries, there are still many challenges."
 Clean Plate Campaign and Food Security , International trade tensions ,"A report by the Chinese Academy of Science found that in 2015 residents in big cities, including Beijing and Shanghai, wasted 17 to 18 million tons of food, or enough to feed 30 to 50 million people. A quarter of the waste was staple foods like rice and noodles, and about 18% of its meat, the report said. With this level of waste, the Chinese government has paid close attention to the problem and responded quickly with big social events that advocated or encouraged food wastes."
 Clean Plate Campaign and Food Waste , Eating livestreams ,"As a result of the seriousness of food waste, some new major incidents and trends of social behaviors in resulting food waste become the targets for the government to crackdown. For example, ""eating livestreams"", or mukbang, originated in South Korea in 2010 has become very popular in China. To some, watching people eating piles of food in front of them is appealing and satisfying. This market demand attracts a lot of people entering the field. However, one often needs to really stand out in this competitive market to gain subscribers, fame and money."
 Clean Plate Campaign and Food Waste , Eating livestreams ,"So many of them adopt a similar practice of eating contestants in speed eating (or competitive eating). They consume a lot more food than what a normal person could eat, like 10 bowls of noodles, 20 hamburgers a meal. But because most of the people uploading their eating videos can't really eat that much foot in a short period of time, instead of real speed eating, what really happened behind many of those videos is that they will purposefully vomit what they have eaten to take in more food."
 Clean Plate Campaign and Food Waste , Eating livestreams ,"It happens repeatedly so a 20 min video could be made after editing hours of raw footage. In the cases of real livestreams, streamers will also use emetic measure after the stream, so they can quickly get ready for the next stream. This production cycle damages many people's health and results in serious food waste. It becomes a public secret for its popularity and soon attracts the authority's attention calling to end or fundamentally rectify such practices."
 Clean Plate Campaign and Food Waste ," Milk pouring at ""Youth with You 3"" ","The talent selection show ""Youth With You 3"" is the third season of the series featuring 119 male trainees competing to form a final group of 9 through global viewers' votes. It is produced by a Chinese video platform ""iQiyi"" and was broadcast on it since February 18, 2021. The controversy centered at the serious food waste due to the platform's publicity strategy of printing QR codes inside the yogurt drink bottles to enable fans of the show to support their favorite contestants."
 Clean Plate Campaign and Food Waste ," Milk pouring at ""Youth with You 3"" ","Due to the high popularity and large fan base of the show and individual contestants, the craze for voting triggered large food waste because supporters would buy hundreds of thousands of bottles of the drink to only get the QR code. But because people cannot finish the drink, they would simply pour them out."
 Clean Plate Campaign and Food Waste ," Milk pouring at ""Youth with You 3"" ","This has gone beyond individuals' actions of food waste, instead it shows that bout 40 to 50 people were hired for the job every day.In early May, a video went viral on Chinese internet, showing tens of people hired to open the caps of those drinks and then pour the milk out. It is reported that by estimate, there were roughly 270,000 bottles of the beverage being wasted. The shocking visuals drove lots of Chinese netizens mad for such excessive food waste only for supporting the idols."
 Clean Plate Campaign and Food Waste ," Milk pouring at ""Youth with You 3"" ","Some of them indicate that if they don't want the drinks, they can simply give them out to delivery men, workers on construction sites and such. But the truth is, it is something hard to be implemented. Since the supporters have to open the lids to retrieve the QR code, the dairy drinks will go bad very soon. Giving out tons of drinks that have been opened could also be problematic if there were cases of illness or food-poisoning. This controversy soon caught the attention of the government."
 Clean Plate Campaign and Food Waste ," Milk pouring at ""Youth with You 3"" ","Beijing Municipal Radio and Television Bureau on May 5 ordered for Youth with You Season 3 to be suspended, days before the grand finale scheduled to be aired. It is believed that the platform and sponsors' actions in inducing consumption of crazy fan behavior and the resulting food waste has violated laws in China. ""The auditing standards for internet variety show content"" prohibits the methods of purposefully inducing people use materialized means like purchasing goods or membership subscription to support the contestants."
 Clean Plate Campaign and Food Waste ," Milk pouring at ""Youth with You 3"" ","Moreover, this incident coincides with ""law of anti-food waste"" which was passed through the Standing Committee of the Thirteenth National People's Congress on April 29, 2021, which is only about a week before this controversy."
 Clean Plate Campaign and Food Waste ," Milk pouring at ""Youth with You 3"" ","Under the law, eateries could face a penalty of between 1,000 yuan (US$160) and 10,000 yuan (US$1,600) if they mislead customers into ordering excessive quantities of food while food manufacturers could be fined between 5,000 yuan (US$785) and 50,000 yuan (US$7,850) for causing wastage in the productions.China's state media Xinhua News Agency also published a commentary in response, criticizing the production company and the sponsor for neglecting their social responsibility when adopting their promotion strategies."
 Clean Plate Campaign and Food Waste ," Milk pouring at ""Youth with You 3"" ","In the following days, iQiyi and Mengniu Dairy apologized on their social media account, the final round of the competition was cancelled and all the voting channels were closed."
 Clean Plate Campaign and Anti-Corruption Campaign , Level of corruption before the campaign ,"China's level of state corruption is pervasive before the anti-corruption campaign. The Los Angeles Times in 2008 estimated that corruption in China is as high as roughly 3%-15% of China's seven trillion dollar (USD) economy. Transparency International's Corruption Perception Index 2012 also ranks China the 80th most corrupt country out of 176. Even the Chinese government knows the seriousness itself, The 2012 Anti-Corruption Blue Book, published by the Chinese Academy of Social Sciences indicates that China's corruption touches upon all aspects of the society."
 Clean Plate Campaign and Anti-Corruption Campaign , Level of corruption before the campaign ,"Political corruption hinders economic development, people's trust towards the government and social stability, which are all dangerous signals for the incumbent administration. Especially considering that the last round of concerns over state corruption led to demonstrations across the country in the 1980s, which finally escalated to a serious confrontation known as the Tiananmen Incident. So decades later, when the issue of corruption rose onto the surface again, it makes perfect sense for CCP leader Xi Jinping to launch the anti-corruption campaign to curb extreme corruption within the party and within the bureaucratic system."
 Clean Plate Campaign and Anti-Corruption Campaign , Level of corruption before the campaign ,"Because of the close bond between corruption and extravagant government dining, part of Xi's campaign made use of the grass-root movement of ""Clean Plate Campaign"" in early 2013 to make government funding usage more transparent and restrained. Beijing Youth Daily in 2013 presented a shocking survey results indicating that 97.8% of respondents in the survey felt that Chinese officials were wasting public funds. Among them, there are 33.8% people believed that official reception was the place those funds were wasted, like for lavish feasts."
 Clean Plate Campaign and Anti-Corruption Campaign , Impact ,"The large food waste which is the key issue dealt by the Clean Plate Campaign is largely contributed by the excessive government funding on dining tables. The director of the Institute of Law and Social Sciences at Renmin University of China, Zhou Xiaozheng justified the connection between fighting waste and fighting corruption with clear evidence. ""since the issuance of Mr."
 Clean Plate Campaign and Anti-Corruption Campaign , Impact ,"Xi's eight-point guide for official conduct at the end of 2012, an average of 3,000 metric tons of kitchen waste per day had been reduced in Beijing (20-30% of total kitchen waste, depending on the data source), mainly due to reduced public consumption"". The timing coincides with the ""Clean Plate Campaign"" which started in January 2013, when top officials including Xi Jinping himself and numerous state news reports supported the movement by stressing the importance of reducing food waste and emphasizing the significance of stopping lavish banquets using government funding seen everywhere in Chinese bureaucracies at the time."
 Clean Plate Campaign and Anti-Corruption Campaign , Impact ,"In 2012, it is reported that government officials spent $48 billion on state banquets, but due to the ""Clean Plate Campaign"" bonding with the anti-corruption campaign, the sale of luxury food items has been cut in half, according to China' s Commerce Ministry. And in Beijing and Shanghai, there have been business drop by as much as 35% in the catering industry.The campaign shows significant results in halting widespread extravagant dining using taxpayers' money. Even four years after the campaign, people indicate a higher confidence in public funding and officials' banquets."
 Clean Plate Campaign and Anti-Corruption Campaign , Impact ,"The Chairman of the Board at New Century Tourism Group Co., Ltd. told reporter in 2017 that there has been a sharp decline in food waste from officials' banquet, which was made possible due to the limited use of government funding because they are more likely to waste food while using others' money"". But along with the decline in lavish feasts held in outside restaurants, there are increasing waste in the dining halls of those government institutions."
 Clean Plate Campaign and Anti-Corruption Campaign , Impact ,"Due to the tradition of ""rewarding the public servants"", food provided in the dining halls at government institutions are provided at a close to zero price, much lower than the market price. Since the campaign, there are more dining halls that were built and decorated luxuriously, often including private rooms for inviting and treating guests. This phenomenon shows the incompleteness of the campaign because waste are still largely present in this form while there is less public exposure and social influence."
 Controversies , Domestic responses ,"Chinese people largely responded very positively and actively to the campaign in 2013. This movement took the opportunity of the early stage of internet development, and successfully used this platform to achieve high publicity, social mobilization and education purposes. This could be seen through the massive participation under the original post and the general topic on the social media platform Weibo, where many netizens voluntarily joined the movement by showing pictures of clean plates after meals. It shows that within days since the movement started with the Weibo post, there have been over 50 million retweets of the original post."
 Controversies , Domestic responses ,"This number is extraordinary considering the relatively limited Internet access ten years ago. Putting it into context, the ""Clean Plate Campaign"" was really a phenomenon at the time. Beyond the internet realm, dining places like the restaurants also participated in movement to actively seek positive changes. It started in the beginning of the movement, there were quite a few restaurants participating in hanging poster and handing out flyers on reducing food waste in Beijing. Later, as the popularity spread to the country, restaurants in different provinces start to implement different tools to reduce food waste."
 Controversies , Domestic responses ,"Attempts include offering half-sized dishes, to-go boxes/bags, and additional rewards for customers who finish all their food. Educational institutions also followed up on this movement very quickly. Many schools use different approaches to encourage students not to waste food. Some methods focuses on education, which include engaging parents, telling stories and singing related songs to educate children the significance of reducing food waste; some methods changed the way of dining like reducing the serving portion based on students' different needs."
 Controversies , Domestic responses ,"Some methods uses the rewarding mechanism, honoring kids and classes who do well in participating related activities and eat up their food. There are also activities like bringing students to rural areas to experience farming and more frugal living."
 Controversies , Domestic responses ,"It is reported that the University of Science and Technology Beijing indicated that the food waste has been reduced from 35 to 40 barrels in the two dining halls on campus to 22-25 barrels since the ""Clean Plate Campaign"", which is almost 40% decrease from the original level.The government also contributed greatly to this campaign by increasing publicity, setting regulations on government funded-dining and local governments' supervision and monitoring on private effort. Starting on January 20, different state media published commentaries and reports endorsing the movement."
 Controversies , Domestic responses ,"On 28th, Xi Jinping instructed on the issue by stressing the significance of disciplining party members and state officials' public-funded dining behaviors and urging the relevant authorities to implement measures to ensure food security. Individuals and groups in China have been very used to and acceptant to the guidelines from above."
 Controversies , Domestic responses ,"Some of the effort by restaurants and schools mentioned above were also in part made possible because of the various papers and instructions from above demanding changes, for example the issue of ""The Announcement about doing frugal education and establishing economical schools"" by the Ministry of Education on February 26, 2013. The most solid major achievement from the state's effort is to successfully regulate the officials in wasting taxpayers' money on lavish banquets, which helps to reduce an average of 3,000 metric tons of kitchen waste per day in Beijing only."
 Controversies , International responses ,International responses towards the movement in 2013 is also mainly positive. People looked at Chinese huge food waste as a real problem and compliments the campaign to be a positive influence that could change the situation.
 Controversies , International responses ,"Responding to the challenge of cutting down on waste among China's newly wealthy, some said that ""a new grassroots ""Clean Your Plate"" campaign is gaining steam, and starting to change the way people think about leftovers"".As Zhang Ye, one helped organize China's ""Clean Plate campaign"" says, the movement ""started from bottom to top, and then was promoted from top to bottom."" So some of the negative responses internationally came from the skepticism of the Chinese state's intervention."
 Controversies , International responses ,"Some media showed concern over the duration and systemic impact of this campaign: ""the operation against food waste develops into a movement of political importance, it may render the campaign short-lived, instead of making real changes in the institutional system"". The reasoning behind it is that people need to fully understand the problem to deploy the best strategy to change, however the government's top-down measure is often too arbitrary and ""one size fits all"" which usually only eliminate the problem on the surface while causing new unintended problems. There were two examples given to support this argument."
 Controversies , International responses ,"First, an annual banquet of a government agency was suddenly called off after serving the first few dishes when officials learned about the attitude and regulation above, which ends up wasting all those food prepared while those people will still find another place to get them fed. The second one is a at school, where students were too afraid of leftovers that a student threw up for finishing a dish, while another cried over a meatball given by mistake. These reports suggested that the government's intervention actually harmed the grass-root campaign and hindered more creative and humanitarian approaches."
 Controversies , Responses to the 2020 Clean Plate Campaign ,Xi's call for a second round of Clean Plate campaign directed international attention to the rising food insecurity in China. Xi's message is seen as an emphasis on self-reliance of food supply amid a growing tension with the United States and short-terms disruptions to its food production and importation such as the COVID-19 pandemic and summer floods. The vague wording left plenty of room for speculation to be filled up by official media accounts squashing worries of an immediate food shortage.
 Controversies , Responses to the 2020 Clean Plate Campaign ,"The timing of Xi's message is also particularly important, released only weeks after the massive summer floods.The state's intervention on the daily life of citizens is another heated topic. BBC reports critics on the ""N-1"" ordering limit as ""too rigid"", and other comments questioning why the campaign does not target the lavish banquets of the officials."
 Controversies , Responses to the 2020 Clean Plate Campaign ,"CNN quotes political analyst Wu Qiang that ""Even the most politically apathetic person can feel their daily life habits challenged and threatened (by this campaign)"" while highlighting the privacy intrusion in some local government's practices, who reportedly monitor food waste by encouraging citizens to report such behaviors, or installing surveillance cameras next to the food dumps in government canteens."
 History ,,"The first community fridges were set up in Germany, by a group called Foodsharing. The next community fridge was started in Spain in 2015. Community fridges draw inspiration from food initiatives such as the 1960s Black Panther Free Breakfast program, which was the first free breakfast program for students in the US and inspired the USDA's school breakfast program.In the UK, early community fridges were set up at Frome, South Derbyshire, Brixton (London), and Botley (Oxford)."
 History ,,"A national network of community fridges was set up in July 2017 by the environmental charity Hubbub UK, which offers a free support service to new projects.Community fridges are a rapidly-growing phenomenon, with fridges also recently set up in New Zealand, India, Israel, the Netherlands, and Canada (Community Fridges Toronto has seven fridges)."
 History , COVID-19 pandemic ,"Community fridges have recently made a wide emergence in the U.S. during the COVID-19 pandemic. During the COVID-19 pandemic, community fridges were developed in response to a significant increase in food insecurity. In New York City, community fridges, nicknamed “Friendly Fridges,” were introduced in February 2020, the first one placed by an activist group, In Our Hearts. In Our Hearts has now set up at least 14 of the 70 fridges around New York City. In Philadelphia, Dr. Michelle Nelson launched a Mama-Tee Community Fridge in North Philly, now there are 18 of them."
 History , COVID-19 pandemic ,"Using New York City as a model, community fridges have popped up in cities across the U.S. including Los Angeles, Philadelphia, Chicago, Atlanta, and more. As of September 2021, Los Angeles County has 14 community fridges. In Chicago, as of September 2021, there are 26 community fridges providing support to the community. The Love Fridge is a mutual aid network placing community refrigerators across the city. In Atlanta, Georgia, Latisha Springer, started Free99Fridge, a grassroots organization providing food to communities through their community fridge network. The organization maintains five community fridges throughout the metro Atlanta area."
 History , COVID-19 pandemic ,"In the Greater Boston Area, the first community fridge was started in Jamaica Plain in September 2020. Soon after, another fridge emerged in the neighborhood of Dorchester, Boston's largest neighborhood. As of September 2021, fridges in the neighborhoods of Allston, Fenway, Mattapan, and Roslindale have emerged, as well as in the cities of Somerville, Cambridge, Worcester. In Thailand, entrepreneur Supakit Kulchartvijit's Pantry of Sharing pantry cabinets, a variation on the community fridges, was launched in May 2020 in Bangkok and Rayong."
 History , COVID-19 pandemic ,"Thailand's SCG Foundation emulated Kulchartvijit's initiative, putting up a total 60 pantry cabinets in the country by 25 May 2020.The following year in the Philippines as the pandemic dragged on, a trend utilizing a similar concept emerged across the country. Small carts carrying essential items were parked along sidewalks for locals to obtain any of the items without charge."
 History , COVID-19 pandemic ,"The first such cart to be reported was started by the Members Church of God International on March 14, 2021.Also in the Philippines, a similar idea under the term ""community pantry"" was started on Maginhawa Street in the Teacher's Village neighborhood of Quezon City on April 14, 2021. This initiative gained a wider media coverage than the MCGI initiative, resulting in the mushrooming of hundreds of similar initiatives throughout the country."
 History , COVID-19 pandemic ,"In about a week after the Maginhawa pantry's launch, more than 100 pantries were set up in various locations; a week thereafter more than 300 pantries had already been set up.Following the Maginhawa movement's example in the Philippines, various community pantries were set up in East Timor. Challenges surrounding community fridges include maintaining cleanliness, ensuring food safety, and making sure that mutual aid model of community fridges is not abused (e.g. that nobody profits from the food)."
 History , COVID-19 pandemic ,"In the UK, setting up a community fridge requires a rota of volunteers to clean the fridge and check the food; public liability insurance; the support of the local authority environmental health officer; and, evidently, a fridge and associated waste bins. Several community fridges in Germany were threatened with closure due to health concerns.Community fridges are sometimes criticized for not providing a systemic solution to food insecurity."
 History , COVID-19 pandemic ,"Fridges are needed by those who are actively hungry or do not have the means to access nutritious food, but do not address underlying causes of food insecurity.Fridges are also occasionally criticized for not addressing the needs of a community. Often, food provided to the fridge does not meet the cultural and nutrition needs of the community. In addition, there is often controversy surrounding the legality of community fridges. Policies addressing maintaining a community fridge vary widely from community to community. Fridges must be placed on private property, which makes them dependent on the owners willingness to participate."
 History , COVID-19 pandemic ,"In Boston's Allston Neighborhood, the Allston community fridge was forced to move because new property owners were no longer willing to house them. Little Free Pantries and Blessing Boxes Free Blockbuster A Washington Post feature on free fridges in Philadelphia"
 History ,,"The paper plate was invented by the German bookbinder Hermann Henschel in Luckenwalde in 1867. In 1908, Samuel J. Crumbine was a public health officer in Kansas. He was on a train when he witnessed one of his tuberculosis patients taking a drink of water from a common dipper and water bucket (a publicly shared way of drinking water) in the car. Right behind his patient was a young girl who drank from the same dipper and bucket. This inspired him to launch a crusade to ban publicly shared or common utensils in public places."
 History ,,"Taking note of the trend, Lawrence Luellen and Hugh Moore invented a disposable paper cup called the ""Health Cup"" and later renamed the ""Dixie Cup"".Single-use cone cups were followed by the commercialization of single-use plates and bowls, wooden cutlery, and paper food wraps. By the 1930s these products were widely used to feed the men and women who worked on the remote dams, bridges and roads of the Works Progress Administration. In the 1940s they were used to feed defense factory workers.After World War II, foodservice packaging materials like plastic and polystyrene foam were developed."
 History ,,"The unique properties of these materials (insulation and weight reduction) and their ability to be made into a variety of shapes and sizes, provided foodservice operators, and consumers, with a wider variety of packaging choices.A major development in disposable foodservice packaging happened in 1948 when the newly founded McDonald's restaurant closed to revamp its menu. Along with changing their menu items, the restaurant wanted to change the way it handled dishwashing and dishwashers, car hops and wait staff, and storage, breakage and (customer) theft of tableware."
 History ,,"When the McDonald's re-opened six months later, its meals were no longer served with the use of glasses, plates or cutlery, and were taken away from the restaurant by the customers. The use of disposable foodservice packaging is a step toward preventing foodborne disease. By being used only once, these products help reduce food contamination and the spread of diseases.The U.S."
 History ,,Food
 History ,,and
 History ,,"Drug Administration’s Food Code authoritatively spells out the sanitary and health advantages of single-use foodservice packaging in specific situations: ""A food establishment without facilities...for cleaning and sanitizing kitchenware and tableware shall provide only single-use kitchenware, single-service articles, and single-use articles for use by food employees and single-service articles for use by consumers."" The Food Code further states ""in situations in which the reuse of multiuse items could result in foodborne illness to consumers, single-service and single-use articles must be used to ensure safety."" Disposable foodservice packaging can be made from a number of materials, each with its own uses and benefits."
 Materials , Aluminum ,"Aluminum is used to manufacture foils, wraps, bags, containers, and trays."
 Materials , Plastics ,"Many disposable foodservice products can be made of plastic or plastic-coated paper: cups, plates, bowls, trays, food containers and cutlery, for example. Plastics are used because the material is lightweight and holds the temperature of hot/cold food and beverages. Foamed polystyrene (sometimes referred to as Styrofoam) is in one of the most common types of plastics used for foodservice packaging, in the form of the foam food container. Non-foamed polystyrene is sometimes also used for utensils or plastic plates. Polyethylene and other plastics are also used. Plastic wrap is sometimes used to cover a tray of food."
 Materials , Plastics ,Many plastics are marked with the SPI recycling codes for identification.
 Materials , Paper and paperboard ,"Disposable foodservice products made from paper, paperboard, and corrugated fiberboard: including cups, plates, bowls, napkins, carryout bags, trays, egg cartons, doilies and tray liners. Some paper products are coated - mostly with plastic - or treated to improve wet strength or grease resistance. Paper and paperboard packaging like pizza trays, French fry trays, Chinese noodle soup boxes, hamburger clamshell trays, etc., are developed by printers utilizing paper-converting equipment such as tray formers. Molded pulp products are made from recycled newsprint and are formed under heat and pressure into plates, bowls, trays and cup carriers. Molded pulp is readily recyclable."
 Materials , Wood and bamboo ,"In recent years, manufacturers have been working on developing more sustainable alternatives to traditional plastic products. Amongst them are plates and cutlery made from bamboo and wood (mostly birch). Throughout the entire life cycle of wood products, there can be far fewer environmental repercussions than with traditional plastics, and possibly fewer with bioplastics like PLA, which composts into lactic acid. Wooden products decompose on average in the matter of a few months. Currently wood and bamboo products are more costly than traditional plastics and not as widely available, which makes it challenging for some restaurants to switch."
 Materials , Alternative materials ,"A number of manufacturers are now making disposable foodservice products from a combination of natural starches, recycled fibers, water, air, and natural minerals. These composite products include cups, plates, bowls, cutlery, sandwich wraps, food containers and trays. Ideally these products are easily biodegradable and composted after use. The material used to make these kinds of disposable foodservice products is primarily PLA or polylactic acid. Some products are made from a mixture of PLA and pulp fibers that are molded into disposable foodservice items with heat and pressure."
 Materials , Alternative materials ,"Others are made from a composite or mixture of starch and other materials, such as limestone and recycled fibers, to give them additional strength. Areca palm plates are made from dry fallen leaves from the Areca catechu palm (betel tree). This trees shed the old dried leaves along with their sheath. These sheaths are separated from leaves and sent to the factory. The sheaths are then soaked and washed in clean water to remove the dust and sand particles. The sheaths are hot pressed and made into areca palm plates, bowls and food containers."
 Materials , Alternative materials ,"Compared to other disposable items, areca palm products are 100% natural, eco-friendly. No synthetic adhesives or binders used in the manufacturing. By reducing the need for equipment and additional labor, disposable foodservice packaging is an economical alternative to multiuse items and eliminates the need for dishwashers and other support equipment (racks, carts, dollies, shelving, bins). It can also save money on water and energy used by dishwashers and can eliminate the need to replace reusables that are broken, damaged, stolen or accidentally discarded. Disposable tableware was a key part of the business strategy of chain fast food restaurants in the US."
 Materials , Alternative materials ,"In order for the business model to work, fast food chains, notably McDonald's, had to convince consumers through advertising campaigns to carry their own tableware to a waste bins, in order to avoid labor expenses incurred in clearing tables. By establishing a custom in which customers are encouraged to carry disposables, some of the internal costs of the disposable tableware can be offset."
 Environmental concerns , Comparison with washable foodservice products ,"According to the U.S. Environmental Protection Agency, paper and plastic foodservice packaging discarded in the country's municipal solid waste stream accounted 1.3 percent in 2007 (by weight) of municipal solid waste. The U.S. Environmental Protection Agency also says that an often-cited waste prevention measure is the use of washable plates, cups, and napkins instead of the disposable variety. While this will reduce solid waste, it will have other environmental effects, such as increased water and energy use. Overall, reusable dishware – even if only offered to customers for on-site use – is considered to be the best environmental choice."
 Environmental concerns , Cost of recycling ,"Collection costs, the value of scrap material, and increased energy expenditures create an additional economic barrier to recycling foodservice packaging. While recycling foodservice packaging is difficult, recycled materials are being used in some foodservice packaging."
 Environmental concerns , Environmental footprint ,"Many people are working on reducing the environmental footprint of packaging for food service. Often a Life-cycle assessment is valuable to determine the effects throughout the entire system. Some actions include: Packaging of incoming food and supplies can work towards the broad sustainable packaging guidelines offered by many organizations. This includes the recycling of packaging generated within the restaurant. Packaging products used by the restaurant can include specified amounts of recycled content in the products. Many packaging products can be compostable, but care is needed to match the needs of regional composting facilities."
 Environmental concerns , Environmental footprint ,"Sometimes products can be certified to meet international standards such as ASTM International D6400, ASTM D6868, and EN 13432. Some single-use food packaging is recyclable but food contamination of products is often a problem for recyclers."
 Environmental concerns ," Illusion of recycling and ""recyclable"" claims ","Disposable-product manufacturers frequently include ""recyclable"" or ""please recycle"" indicia on their products; however the availability and effectiveness of such recycling campaigns is limited. A common approach of restaurants featuring disposable tableware is to label one or more of their waste bins as ""recycling"", although realistically, the amount of washing required for effective recycling would make such ""recycling"" unrealistic. In addition to greenwashing, these approaches are intended to encourage consumers to buy disposable tableware. Some experts view a total ban of single-use packaging as the only solution."
 Environmental concerns ," Illusion of recycling and ""recyclable"" claims ","For example, the Chinese government stated that by the end of 2020, non-degradable bags will be banned in major cities, and by 2022, the policy will come into force in smaller settlements. In the European Union (EU), the Directive on single-use plastics (SUPD, EU 2019/904), in force since 3 July 2021, bans the retail sale of disposable food packaging items. The ban applies in the EU, Iceland, Liechtenstein, and Norway (not in Switzerland), and the following items are banned: cutlery (forks, knives, spoons, and chopsticks); plates; beverage stirrers; food containers made of expanded polystyrene (i.e."
 Environmental concerns ," Illusion of recycling and ""recyclable"" claims ","boxes, with or without a cover) for immediate consumption without any further preparation, typically consumed from the container or ready to be consumed without further preparation; beverage containers made of expanded polystyrene, including their caps and lids; and cups for beverages made of expanded polystyrene, including their covers and lids.In Germany, in 2022 Tübingen was the first city to introduce a charge on single-use food packaging, to be paid by local restaurants. A Germany-wide tax on single-use plastic manufacturers was enacted in 2023, with the first levies due in 2025."
 Environmental concerns ," Illusion of recycling and ""recyclable"" claims ",Disposable tableware – Disposable table utensils Drinking straw – Thin tube for drinking liquids Military rations
 History ,,"The garbage disposal unit was invented in 1927 by John W. Hammes, an architect working in Racine, Wisconsin. He applied for a patent in 1933 that was issued in 1935. His InSinkErator company put his disposer on the market in 1940.Hammes' claim is disputed, as General Electric introduced a garbage disposal unit in 1935, known as the Disposall. In many cities in the United States in the 1930s and the 1940s, the municipal sewage system had regulations prohibiting placing food waste (garbage) into the system."
 History ,,"InSinkErator spent considerable effort, and was highly successful in convincing many localities to rescind these prohibitions.Many localities in the United States prohibited the use of disposers. For many years, garbage disposers were illegal in New York City because of a perceived threat of damage to the city's sewer system."
 History ,,"After a 21-month study with the NYC Department of Environmental Protection, the ban was rescinded in 1997 by local law 1997/071, which amended section 24-518.1, NYC Administrative Code.In 2008, the city of Raleigh, North Carolina attempted a ban on the replacement and installation of garbage disposers, which also extended to outlying towns sharing the city's municipal sewage system, but rescinded the ban one month later."
 History ,,"In the United States, 50% of homes had disposal units as of 2009, compared with only 6% in the United Kingdom and 3% in Canada.In Sweden, some municipalities encourage the installation of disposers in order to increase the production of biogas.In Britain, Worcestershire County Council and Herefordshire Council started to subsidize the purchase of garbage disposal units in 2005, in order to reduce the amount of waste going to landfill and the carbon footprint of garbage runs."
 History ,,"However, the use of macerators was banned in Scotland in 2016 in non-rural areas where food waste collection is available, and banned in Northern Ireland in 2017. They are expected to be banned for businesses in England and Wales in 2023. The intention is to reduce water use. Many other countries in Europe have banned or intend to ban macerators. The intention is to realise the resource value of food waste, and reduce sewer blockages."
 History ,,"Food scraps range from 10% to 20% of household waste, and are a problematic component of municipal waste, creating public health, sanitation and environmental problems at each step, beginning with internal storage and followed by truck-based collection."
 History ,,"Burned in waste-to-energy facilities, the high water-content of food scraps means that their heating and burning consumes more energy than it generates; buried in landfills, food scraps decompose and generate methane gas, a greenhouse gas that contributes to climate change.The premise behind the proper use of a disposer is to effectively regard food scraps as liquid (averaging 70% water, like human waste), and use existing infrastructure (underground sewers and wastewater treatment plants) for its management. Modern wastewater plants are effective at processing organic solids into fertilizer products (known as biosolids), with advanced facilities also capturing methane for energy production."
